Tiempo (s),Voltaje (V)
0.0517919999957085,1.54565994098084
1.59568499999493,1.56912540027406
1.60851299999654,1.5681610663305
1.62129299999774,1.58423329872312
1.62741499999911,1.59805541858077
1.63343499999493,1.57523284858325
1.64145099999756,1.56880395562621
1.64754299999774,1.58134029689245
1.65453599999845,1.56848251097836
1.66064400000125,1.57362562534399
1.66599300000072,1.5816617415403
1.67226399999857,1.57041117886547
1.67860000000149,1.55208883393789
1.68509099999815,1.59387663815869
1.69130299999565,1.59869830787648
1.69770799999684,1.57073262351332
1.7037519999966,1.57169695745688
1.70935099999607,1.58551907731453
1.71520499999821,1.57105406816117
1.72134200000018,1.57780440576607
1.7273919999972,1.58905496844091
1.73372500000149,1.59259085956728
1.73958399999887,1.58423329872312
1.74601299999654,1.57619718252681
1.75206199999899,1.57587573787896
1.75848099999875,1.58294752013171
1.76454899999499,1.60319853294641
1.76982800000161,1.59709108463721
1.7757839999944,1.57941162900534
1.78226900000125,1.57812585041393
1.78829899999499,1.57362562534399
1.79499399999529,1.57941162900534
1.80162900000066,1.59484097210225
1.80900699999928,1.57362562534399
1.81475499999523,1.57684007182252
1.82137200000137,1.57008973421762
1.82776099999994,1.58037596294889
1.83345899999887,1.58680485590594
1.83896499999613,1.59130508097587
1.84515799999982,1.58423329872312
1.85120600000024,1.59741252928507
1.85746999999881,1.58423329872312
1.86363499999791,1.57716151647037
1.87055200000107,1.58294752013171
1.8768219999969,1.57651862717466
1.88288899999857,1.59355519351084
1.88848900000006,1.58873352379305
1.89377499999851,1.58937641308876
1.89957299999893,1.58262607548386
1.90652399999648,1.58455474337097
1.91328000000119,1.60159130970715
1.91918899999559,1.58969785773661
1.92508399999887,1.58455474337097
1.93068599999696,1.60159130970715
1.93596899999678,1.58230463083601
1.94186299999803,1.58519763266668
1.94734799999744,1.58069740759674
1.95290699999779,1.58134029689245
1.95839099999517,1.58069740759674
1.96349199999869,1.57716151647037
1.96923600000143,1.56366084126057
1.9750019999966,1.57876873970963
1.98070099999756,1.60609153477708
1.98602799999714,1.60094842041144
1.99112099999934,1.57941162900534
1.99688899999857,1.58455474337097
2.0026269999966,1.58391185407527
2.00824399999529,1.57812585041393
2.01404499999434,1.58134029689245
2.01913199999928,1.57973307365319
2.02491399999708,1.57330418069614
2.03061199999601,1.5601249501342
2.03631099999696,1.57844729506178
2.04174199999869,1.59226941491943
2.04688699999452,1.5749114039354
2.05261999999732,1.60641297942493
2.0583200000003,1.57458995928755
2.06414899999648,1.56783962168265
2.0693769999966,1.5884120791452
2.07497999999672,1.59741252928507
2.08089299999923,1.59451952745439
2.08633999999613,1.60062697576359
2.09224899999797,1.59194797027158
2.09748900000006,1.59934119717218
2.10240100000054,1.59162652562372
2.10808500000089,1.57909018435748
2.11383999999613,1.57555429323111
2.11933399999887,1.59869830787648
2.12524899999797,1.58551907731453
2.13025400000066,1.57394706999185
2.13598900000006,1.5951624167501
2.14152899999917,1.59644819534151
2.14699899999797,1.60159130970715
2.15236400000006,1.58551907731453
2.15790699999779,1.59226941491943
2.16357299999893,1.59612675069366
2.16991799999774,1.58969785773661
2.17591299999505,1.57555429323111
2.18206199999899,1.58712630055379
2.18770600000024,1.61477054026909
2.19271700000018,1.57266129140044
2.19882899999619,1.58551907731453
2.20442599999905,1.56301795196487
2.21002299999446,1.57394706999185
2.2163599999994,1.59837686322862
2.22185700000077,1.59966264182003
2.22729899999499,1.59162652562372
2.23341499999911,1.59066219168017
2.23904399999976,1.58905496844091
2.24468400000036,1.56333939661272
2.25026900000125,1.59484097210225
2.25520799999684,1.55048161069863
2.26197999999672,1.56944684492191
2.26736499999464,1.60994887055131
2.27303899999708,1.56944684492191
2.27892399999499,1.601912754355
2.2836799999997,1.60769875801634
2.28941600000113,1.60673442407278
2.29519399999827,1.57137551280903
2.30152299999446,1.60769875801634
2.30729699999839,1.6234495457611
2.31278499999642,1.5466242749244
2.31774399999529,1.48329967929749
2.32397399999946,1.58616196661023
2.32966099999845,1.64209333533654
2.33547100000083,1.65012945153285
2.34145300000161,1.54983872140292
2.34638199999928,1.41708208183991
2.3520719999969,1.59066219168017
2.35765799999982,1.60030553111574
2.36332499999553,1.62891410477459
2.36893800000101,1.71281115786405
2.37409200000018,1.55208883393789
2.37991799999774,1.57008973421762
2.38563899999857,1.52958770858822
2.39133299999684,1.6983461487107
2.39695499999821,1.71409693645546
2.40196999999881,1.70766804349842
2.40767899999768,1.59387663815869
2.41330099999905,1.6086630919599
2.41984699999541,1.53923104802379
2.42514299999923,1.57844729506178
2.4305339999944,1.57233984675258
2.43573299999535,1.6983461487107
2.44178700000048,1.6578441230813
2.4476799999997,1.55851772689493
2.45313300000131,1.68195247167023
2.45851999999583,1.84588924207492
2.46364499999583,1.84749646531418
2.46936699999869,2.03071991459001
2.47491899999976,1.88349826587364
2.48129100000113,1.53601660154527
2.48698399999738,1.4373330946546
2.49172999999672,1.31550557311857
2.49868599999696,1.31389834987931
2.5057519999966,1.42608253197977
2.51201399999857,1.28111099579837
2.51796999999881,1.59066219168017
2.52403499999642,1.63952177815372
2.53050899999589,1.54373127309373
2.53663699999452,1.50901525112567
2.54242799999565,1.29204011382535
2.54793599999696,1.41290330141783
2.55349099999666,1.41322474606568
2.55955599999428,1.35793626663508
2.56558199999481,1.41354619071353
2.57140199999511,1.49519313126802
2.57677600000054,1.49230012943735
2.58191699999571,1.60287708829856
2.58789499999583,1.48844279366313
2.59343299999833,1.53923104802379
2.59926799999922,1.67680935730459
2.60509899999946,1.66909468575614
2.60990599999577,1.34893581649521
2.61553899999708,1.22614396101562
2.6216799999997,1.42704686592333
2.62726999999583,1.51930147985695
2.63274199999869,1.43958320718957
2.63800899999589,1.37818727944978
2.64394599999487,1.43829742859816
2.64971599999815,1.43315431423252
2.65538300000131,1.44376198761165
2.66097399999946,1.46208433253923
2.66667300000042,1.4501908805687
2.67197299999744,1.47558500774903
2.67801599999517,1.52926626394037
2.68384699999541,1.52380170492688
2.68984499999881,1.41708208183991
2.69562999999523,1.65237956406781
2.70050599999726,1.84203190630069
2.70619900000095,1.61380620632553
2.71196099999547,1.5681610663305
2.71773200000077,1.7057393756113
2.72328700000048,1.57523284858325
2.72821599999815,1.71570415969472
2.73395300000161,1.77742153208237
2.73945899999887,1.72695472236956
2.74539400000125,1.92914340586867
2.75097199999541,1.90085627685767
2.75574099999666,1.90632083587116
2.76197800000012,1.6025556436507
2.7674450000003,1.5398739373195
2.7731799999997,1.7671353033511
2.77899799999595,1.73788384039653
2.78423999999464,1.52476603887044
2.78971099999547,1.43315431423252
2.79550800000131,1.4845854578889
2.8012839999944,1.51255114225205
2.80727099999785,1.37850872409763
2.81267799999565,1.37143694184488
2.81761299999803,1.47815656493185
2.82336599999666,1.79381520912284
2.82909099999815,1.50290780281648
2.83462099999934,1.63277144054882
2.83973799999803,1.59998408646788
2.84530900000036,1.38590195099823
2.85102399999648,1.34507848072099
2.85681300000101,1.21007172862301
2.86251999999583,1.11717422539368
2.86764999999851,1.53858815872809
2.87293599999696,1.43058275704971
2.87859600000083,1.63341432984453
2.88470799999684,1.67905946983956
2.89039099999517,1.51512269943487
2.89590100000054,1.20621439284878
2.9010549999997,1.31614846241428
2.90682800000161,1.38686628494179
2.91250800000131,1.32836335903266
2.9185,1.30843379086582
2.92397399999946,1.41901074972702
2.92896099999547,1.41868930507917
2.93472999999672,1.43894031789387
2.94030399999768,1.31293401593575
2.94623999999464,1.49776468845084
2.95232299999893,1.61637776350835
2.95750599999726,1.53280215506675
2.96349300000072,1.4643344450742
2.96935899999738,1.51351547619561
2.975,1.60287708829856
2.98074599999934,1.5533746125293
2.98653000000119,1.48812134901527
2.99140199999511,1.58616196661023
2.99720499999821,1.678095135896
3.00282999999821,1.66073712491198
3.00881399999559,1.67263057688251
3.01410599999875,1.68741703068372
3.01920499999821,1.77292130701244
3.02513899999857,1.75202740490204
3.03069099999964,1.69963192730211
3.03613199999928,1.66941613040399
3.04195499999821,1.68516691814875
3.04792199999839,1.69448881293647
3.05378000000119,1.75395607278915
3.05992199999839,1.77420708560385
3.06620699999481,1.75492040673271
3.07253499999642,1.77067119447747
3.07839799999446,1.78417186968727
3.08369399999827,1.76520663546398
3.08924300000072,1.74559851194499
3.09512200000137,1.73691950645298
3.10073900000006,1.78385042503942
3.10678599999845,1.81374477728968
3.1123049999997,1.70188203983707
3.11737200000137,1.70091770589352
3.12359299999475,1.77163552842103
3.12972500000149,1.73306217067875
3.13557699999958,1.76263507828116
3.1413200000003,1.70284637378063
3.14683799999952,1.74977729236707
3.15317599999905,1.81342333264183
3.15810300000012,1.78931498405291
3.16373699999601,1.89732038573129
3.1696799999997,1.82403100602096
3.17543899999559,1.83431723475223
3.18111199999601,1.8095659968676
3.18627899999917,1.8439605741878
3.19193499999493,1.84653213137062
3.19753899999708,1.99246800149558
3.20348099999875,1.88253393193008
3.20900299999863,1.93750096671283
3.21438199999928,1.91114250558894
3.22028099999577,1.7536346281413
3.22622299999744,1.57137551280903
3.23234499999881,2.07025760627585
3.23852799999714,1.63502155308379
3.24429800000042,1.5337664890103
3.24912999999523,1.51512269943487
3.25498900000006,1.80345854855841
3.26054299999773,1.82017367024673
3.26628499999642,1.50965814042138
3.27166200000048,1.52412314957473
3.2769450000003,1.51672992267413
3.28274199999869,1.76295652292902
3.28821400000155,1.60159130970715
3.29424300000072,1.3679010507185
3.2994619999975,1.47751367563615
3.30446299999952,1.46240577718709
3.31031099999696,1.50355069211219
3.31576199999452,1.23739452369045
3.32233299999684,1.21296473045368
3.3283769999966,1.42415386409266
3.33378999999911,1.62184232252184
3.33885199999809,1.4366902053589
3.34466699999571,1.1676410351065
3.35036400000006,1.25635975791374
3.35615299999714,1.47526356310118
3.36156599999964,1.17664148524636
3.36654999999702,1.27307487960206
3.37214599999785,1.34379270212958
3.37769200000167,1.48490690253675
3.38368599999696,1.23900174692972
3.38906300000101,1.31904146424495
3.39397699999809,1.27500354748918
3.39963599999994,1.21682206622791
3.4052650000006,1.36918682930991
3.41095899999887,1.3132554605836
3.41603199999779,1.2714676563628
3.42161499999464,1.12842478806851
3.42725899999589,1.25925275974441
3.4333539999947,1.32836335903266
3.43888199999928,1.29429022636032
3.44411800000072,1.32772046973696
3.4495169999972,1.40068840479944
3.45538199999928,1.36372227029642
3.46118999999762,1.429939867754
3.46671099999547,1.48619268112816
3.47195300000161,1.56623239844339
3.47722399999946,1.57169695745688
3.4827119999975,1.54405271774158
3.48846299999952,1.48619268112816
3.49434799999744,1.5331235997146
3.49938799999654,1.5742685146397
3.50521499999613,1.62152087787399
3.5111799999997,1.75170596025418
3.51710499999672,1.6854883627966
3.52332599999756,1.62762832618318
3.52961599999666,1.65559401054634
3.53539799999446,1.70734659885056
3.54027899999917,1.68580980744446
3.54612200000137,1.70477504166774
3.55172100000083,1.73691950645298
3.55726900000125,1.75620618532412
3.56287900000066,1.74366984405788
3.56779399999976,1.73113350279164
3.57366699999571,1.71281115786405
3.57928599999845,1.73016916884808
3.58511499999464,1.75202740490204
